station_id,source_id,source_name,country,latitude,longitude,elevation,element_id,start_date,end_date
2036,107087,KLODZKO,PL,+50:26:13,+016:36:51,356,TX2,19510101,20230131
2036,912520,KLODZKO,PL,+50:26:00,+016:37:00,357,TX7,19820112,20200229
928,107095,RACIBORZ,PL,+50:03:40,+018:11:27,206,TX2,19510101,20230131
928,912540,RACIBORZ,PL,+50:03:00,+018:12:00,206,TX7,19820113,20200229
2037,107109,KATOWICE,PL,+50:14:26,+019:01:58,278,TX2,19610101,20161231
2037,240032,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281,TX2,19510101,20230131
2037,912560,KATOWICE,PL,+50:14:00,+019:02:00,284,TX7,19820112,20200229
929,107123,KRAKOW,PL,+50:04:40,+019:47:42,237,TX2,19610101,20161231
929,240044,KRAKOW-BALICE,PL,+50:04:49,+019:48:07,234,TX2,19510101,20230131
929,912566,KRAKOW,PL,+50:05:00,+019:48:00,237,TX7,19820114,20200229
2038,107142,KIELCE,PL,+50:48:38,+020:41:32,260,TX2,19510101,20230131
2038,912570,KIELCE,PL,+50:49:00,+020:42:00,261,TX7,19820116,20200229
930,107164,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396,TX2,19510101,20230131
930,912600,BIELSKO-BIALA,PL,+49:48:00,+019:00:00,399,TX7,19820112,20200229
932,107184,NOWYSACZ,PL,+49:37:38,+020:41:19,292,TX2,19540101,20230131
932,912660,NOWYSACZ,PL,+49:37:00,+020:42:00,295,TX7,19820112,20200229
933,107186,LESKO,PL,+49:27:59,+022:20:30,420,TX2,19540617,20230131
933,237500,SOLINA-JAWOR,PL,+49:24:00,+022:28:00,441,TX2,19810101,20221231
933,912690,LESKO,PL,+49:28:00,+022:21:00,422,TX7,19820112,20200229
332,108885,LEBA,PL,+54:45:13,+017:32:05,2,TX2,19510101,20230131
332,912120,LEBA,PL,+54:45:00,+017:32:00,6,TX7,19820112,20200229
24860,236768,PSZCZYNA,PL,+50:00:00,+018:55:00,261,TX2,19561222,20221231
24876,236960,JABLONKA,PL,+49:28:00,+019:42:00,671,TX2,19610101,20221231
24876,911918,LIESEK,SK,+49:22:00,+019:41:00,693,TX7,19890928,20200229
24880,237008,GUBALOWKA,PL,+49:18:00,+019:56:00,856,TX2,19610101,19851231
24880,237020,WITOW,PL,+49:20:00,+019:50:00,844,TX2,19610101,19941231
24880,237284,PORONIN,PL,+49:19:49,+020:02:06,848,TX2,20100101,20221231
24880,912625,ZAKOPANE,PL,+49:18:00,+019:58:00,857,TX7,19820112,20200229
24881,237008,GUBALOWKA,PL,+49:18:00,+019:56:00,856,TX2,19610101,19851231
24881,237020,WITOW,PL,+49:20:00,+019:50:00,844,TX2,19610101,19941231
24885,237068,LAZY,PL,+49:58:00,+020:30:00,251,TX2,19890101,20221231
24885,237380,BOCHNIA,PL,+49:59:00,+020:24:00,255,TX2,19610101,19880731
24889,237116,LIMANOWA,PL,+49:41:00,+020:26:00,587,TX2,19520101,20221231
24891,237140,LACKO,PL,+49:33:34,+020:26:22,516,TX2,19560101,20221231
24894,237176,PIWNICZNA,PL,+49:26:00,+020:42:00,684,TX2,19710101,20080531
24894,237272,PIWNICZNA,PL,+49:25:31,+020:43:23,684,TX2,20080701,20221231
24897,237212,BUKOWINATATRZANSKA,PL,+49:21:00,+020:07:00,848,TX2,19910101,20221231
24897,912625,ZAKOPANE,PL,+49:18:00,+019:58:00,857,TX7,19820112,20200229
24902,237176,PIWNICZNA,PL,+49:26:00,+020:42:00,684,TX2,19710101,20080531
24902,237272,PIWNICZNA,PL,+49:25:31,+020:43:23,684,TX2,20080701,20221231
24903,237008,GUBALOWKA,PL,+49:18:00,+019:56:00,856,TX2,19610101,19851231
24903,237212,BUKOWINATATRZANSKA,PL,+49:21:00,+020:07:00,848,TX2,19910101,20221231
24903,237284,PORONIN,PL,+49:19:49,+020:02:06,848,TX2,20100101,20221231
24903,912625,ZAKOPANE,PL,+49:18:00,+019:58:00,857,TX7,19820112,20200229
24904,237296,MSZANADOLNA,PL,+49:39:49,+020:03:16,537,TX2,20130101,20221231
24904,237344,MSZANADOLNA,PL,+49:40:00,+020:05:00,537,TX2,19610101,19941231
24908,237296,MSZANADOLNA,PL,+49:39:49,+020:03:16,537,TX2,20130101,20221231
24908,237344,MSZANADOLNA,PL,+49:40:00,+020:05:00,537,TX2,19610101,19941231
24909,107184,NOWYSACZ,PL,+49:37:38,+020:41:19,292,TX2,19540101,20230131
24909,237356,ZBYSZYCE,PL,+49:42:00,+020:40:00,302,TX2,19910101,19970331
24909,912660,NOWYSACZ,PL,+49:37:00,+020:42:00,295,TX7,19820112,20200229
24911,237068,LAZY,PL,+49:58:00,+020:30:00,251,TX2,19890101,20221231
24911,237380,BOCHNIA,PL,+49:59:00,+020:24:00,255,TX2,19610101,19880731
24918,237464,DYNOW,PL,+49:50:00,+022:14:00,284,TX2,19510101,20221231
24921,107186,LESKO,PL,+49:27:59,+022:20:30,420,TX2,19540617,20230131
24921,237500,SOLINA-JAWOR,PL,+49:24:00,+022:28:00,441,TX2,19810101,20221231
24921,912690,LESKO,PL,+49:28:00,+022:21:00,422,TX7,19820112,20200229
24922,237512,KOMANCZA,PL,+49:20:00,+022:04:00,569,TX2,19560101,20221231
24932,237632,KARPACZ,PL,+50:47:00,+015:47:00,958,TX2,19510101,20141226
24932,239996,SNIEZKA,PL,+50:44:10,+015:44:22,958,TX2,19510101,20230131
24952,237872,KOCHCICE,PL,+50:43:00,+018:41:00,257,TX2,19980601,20031031
24952,237944,LUBLINIEC,PL,+50:41:00,+018:42:00,266,TX2,19610101,19980630
24956,237920,DRONIOWICE,PL,+50:41:46,+018:48:32,284,TX2,20031101,20221231
24956,237944,LUBLINIEC,PL,+50:41:00,+018:42:00,266,TX2,19610101,19980630
24958,237872,KOCHCICE,PL,+50:43:00,+018:41:00,257,TX2,19980601,20031031
24958,237920,DRONIOWICE,PL,+50:41:46,+018:48:32,284,TX2,20031101,20221231
24958,237944,LUBLINIEC,PL,+50:41:00,+018:42:00,266,TX2,19610101,19980630
24977,238172,STASZOW,PL,+50:36:00,+021:11:00,249,TX2,19610101,20221231
24991,238340,NOWYLUBLINIEC,PL,+50:16:00,+023:06:00,231,TX2,19860101,20040930
24991,238352,CIESZANOW,PL,+50:14:01,+023:07:05,231,TX2,20040101,20221231
24992,238340,NOWYLUBLINIEC,PL,+50:16:00,+023:06:00,231,TX2,19860101,20040930
24992,238352,CIESZANOW,PL,+50:14:01,+023:07:05,231,TX2,20040101,20221231
24992,238364,LUBACZOW,PL,+50:09:00,+023:08:00,227,TX2,19610101,19801231
24993,238352,CIESZANOW,PL,+50:14:01,+023:07:05,231,TX2,20040101,20221231
24993,238364,LUBACZOW,PL,+50:09:00,+023:08:00,227,TX2,19610101,19801231
25004,100662,WROCLAW,PL,+51:06:12,+016:54:00,120,TX2,19510101,20230131
25004,238496,ZYBISZOW,PL,+51:04:00,+016:55:00,121,TX2,19880101,19920430
25004,912424,WROCLAWII,PL,+51:06:00,+016:53:00,124,TX7,19820112,20200229
25012,238592,PUCZNIEW,PL,+51:47:00,+019:05:00,148,TX2,19510101,20221231
25015,238628,SKIERNIEWICE,PL,+51:58:00,+020:10:00,130,TX2,19510101,20221231
25018,238664,JARCZEW,PL,+51:49:00,+021:59:00,181,TX2,19750101,20221231
25031,238820,GORZYN,PL,+52:34:00,+015:54:00,79,TX2,19610101,20221231
25038,238904,WIELICHOWO,PL,+52:07:00,+016:21:00,72,TX2,19510101,20221231
25044,238976,KOLUDAWIELKA,PL,+52:44:00,+018:09:00,76,TX2,19510101,20221231
25052,239072,LEGIONOWO,PL,+52:24:00,+020:58:00,71,TX2,19510206,20221231
25053,239084,WARSZAWA-BIELANY,PL,+52:17:00,+020:58:00,91,TX2,19510101,20221231
25054,100658,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107,TX2,19510101,20230131
25054,239096,WARSZAWA-FILTRY,PL,+52:13:10,+020:59:57,91,TX2,20040101,20221231
25054,240272,WARSZAWA-OBSERWATORIUMII,PL,+52:13:00,+021:02:00,110,TX2,20001101,20221231
25054,912375,WARSZAWA-OKECIE,PL,+52:10:00,+020:58:00,106,TX7,19820112,20200229
25055,100658,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107,TX2,19510101,20230131
25055,239084,WARSZAWA-BIELANY,PL,+52:17:00,+020:58:00,91,TX2,19510101,20221231
25055,239108,WARSZAWA-BABICE,PL,+52:16:01,+020:54:21,91,TX2,20050611,20141231
25055,912375,WARSZAWA-OKECIE,PL,+52:10:00,+020:58:00,106,TX7,19820112,20200229
25060,100658,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107,TX2,19510101,20230131
25060,239168,PULTUSK,PL,+52:04:04,+021:00:06,109,TX2,19510101,20221231
25060,912375,WARSZAWA-OKECIE,PL,+52:10:00,+020:58:00,106,TX7,19820112,20200229
25064,239216,SZEPIETOWO,PL,+52:51:00,+022:33:00,152,TX2,19510101,20221231
25066,239240,BIALOWIEZA,PL,+52:42:00,+023:51:00,170,TX2,19510101,20221231
25076,239360,NOWAWIESUJSKA,PL,+53:02:00,+016:45:00,74,TX2,19880101,19920430
25076,240343,PILA,PL,+53:07:48,+016:45:00,72,TX2,19701012,20230131
25076,912230,PILA,PL,+53:08:00,+016:45:00,73,TX7,19820113,20200229
25095,239588,BIEBRZA-PIENCZYKOWEK,PL,+53:39:00,+022:36:00,128,TX2,19560101,20221231
25101,239660,ROZANYSTOK,PL,+53:38:00,+023:24:00,152,TX2,19610101,20221231
25115,239828,GDANSK-REBIECHOWO,PL,+54:23:00,+018:28:00,145,TX2,19910101,20221231
25115,240248,GDANSK-REBIECHOWO_OLD,PL,+54:23:00,+018:28:00,145,TX2,19510101,19991231
25115,912150,GDANSK-REBIECHOWO,PL,+54:23:00,+018:28:00,138,TX7,19820113,19850205
25116,239840,GDANSK-SWIBNO,PL,+54:20:00,+018:56:00,0,TX2,19510101,20230131
25116,912155,GDANSK-SWIBNO,PL,+54:20:01,+018:56:04,9,TX7,19830201,20200229
25122,239912,LIDZBARKWARMINSKI,PL,+54:08:00,+020:36:00,99,TX2,19510102,20221231
25125,239948,OLECKO,PL,+54:03:00,+022:29:00,173,TX2,19610101,20221231
25126,239960,KASPROWYWIERCH,PL,+49:13:57,+019:58:55,1348,TX2,19510101,20230131
25128,239984,JELENIAGORA,PL,+50:54:01,+015:47:20,427,TX2,19510101,20230131
25129,237632,KARPACZ,PL,+50:47:00,+015:47:00,958,TX2,19510101,20141226
25129,239996,SNIEZKA,PL,+50:44:10,+015:44:22,958,TX2,19510101,20230131
25130,240008,OPOLE,PL,+50:37:37,+017:58:08,163,TX2,19510101,20230131
25131,240020,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266,TX2,19510101,20230131
25132,240032,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281,TX2,19510101,20230131
25132,912560,KATOWICE,PL,+50:14:00,+019:02:00,284,TX7,19820112,20200229
25133,240044,KRAKOW-BALICE,PL,+50:04:49,+019:48:07,234,TX2,19510101,20230131
25133,912566,KRAKOW,PL,+50:05:00,+019:48:00,237,TX7,19820114,20200229
25134,240056,TARNOW,PL,+50:01:48,+020:59:04,207,TX2,19510101,20230131
25134,912575,TARNOW,PL,+50:02:00,+020:59:00,209,TX7,19820112,20200229
25135,240068,SANDOMIERZ,PL,+50:41:48,+021:42:57,143,TX2,19510101,20230131
25136,240080,ZAMOSC,PL,+50:41:52,+023:12:23,258,TX2,19510101,20230131
25138,240104,LEGNICA,PL,+51:11:33,+016:12:27,134,TX2,19510101,20230131
25138,912415,LEGNICA,PL,+51:12:00,+016:12:00,124,TX7,19820112,20200229
25139,240116,LUBLIN-RADAWIEC,PL,+51:13:01,+022:23:37,228,TX2,19510101,20230131
25139,912495,LUBLINRADAWIEC,PL,+51:13:00,+022:24:00,240,TX7,19820114,20200229
25140,100646,POZNAN,PL,+52:11:59,+018:39:37,115,TX2,19510101,20230131
25140,240128,KOLO,PL,+52:12:01,+018:39:41,113,TX2,19510101,20201231
25140,912345,KOLO,PL,+52:12:00,+018:40:00,117,TX7,19820112,20200229
25141,240140,PLOCK,PL,+52:35:18,+019:43:33,87,TX2,19510101,20230131
25141,912360,PLOCK,PL,+52:35:00,+019:44:00,109,TX7,19820112,20200229
25142,240152,RESKO-SMOLSKO,PL,+53:46:18,+015:24:53,66,TX2,19510101,20230131
25142,912210,RESKO,PL,+53:46:00,+015:25:00,56,TX7,19820112,20200229
25145,240188,MIKOLAJKI,PL,+53:47:22,+021:35:19,144,TX2,19520101,20230131
25145,912280,MIKOLAJKI,PL,+53:47:00,+021:35:00,132,TX7,19820115,20200229
25147,240212,KOLOBRZEG-DZWIRZYNO,PL,+54:09:30,+015:23:20,1,TX2,19510101,20230131
25148,240224,USTKA,PL,+54:35:18,+016:51:15,18,TX2,19510101,20230131
25148,912115,USTKA,PL,+54:35:00,+016:52:00,11,TX7,19820113,20200229
25149,240236,LEBORK,PL,+54:33:11,+017:43:25,45,TX2,19510101,20230131
25149,912125,LEBORK,PL,+54:33:00,+017:45:00,41,TX7,19820113,20200229
25150,239828,GDANSK-REBIECHOWO,PL,+54:23:00,+018:28:00,145,TX2,19910101,20221231
25150,240248,GDANSK-REBIECHOWO_OLD,PL,+54:23:00,+018:28:00,145,TX2,19510101,19991231
25150,912150,GDANSK-REBIECHOWO,PL,+54:23:00,+018:28:00,138,TX7,19820113,19850205
25151,240260,ELBLAG-MILEJEWO,PL,+54:13:23,+019:32:37,151,TX2,19510101,20230131
25152,100658,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107,TX2,19510101,20230131
25152,239096,WARSZAWA-FILTRY,PL,+52:13:10,+020:59:57,91,TX2,20040101,20221231
25152,240272,WARSZAWA-OBSERWATORIUMII,PL,+52:13:00,+021:02:00,110,TX2,20001101,20221231
25152,912375,WARSZAWA-OKECIE,PL,+52:10:00,+020:58:00,106,TX7,19820112,20200229
8943,240343,PILA,PL,+53:07:48,+016:45:00,72,TX2,19701012,20230131
8943,912230,PILA,PL,+53:08:00,+016:45:00,73,TX7,19820113,20200229
2023,240355,KETRZYN,PL,+54:04:12,+021:22:12,108,TX2,19660101,20230131
2023,912185,KETRZYN,PL,+54:04:00,+021:22:00,110,TX7,19820114,20200229
8959,240387,KOZIENCE,PL,+51:33:53,+021:32:34,123,TX2,19770101,20230131
8959,912488,KOZIENICE,PL,+51:34:00,+021:33:00,126,TX7,19820114,20200229
9161,240415,KROSCIENKO,PL,+49:27:00,+020:25:48,452,TX2,19570202,20221231
2032,240435,KALISZ,PL,+51:43:48,+018:04:48,140,TX2,19510101,20230131
2032,912435,KALISZ,PL,+51:47:00,+018:04:59,140,TX7,19820116,20200229
